party,votes,perc_valid,perc_emit,ubigeo,ambito,departamento,provincia,distrito
PARTIDO HUMANISTA PERUANO *,0.0,0.0,0.0,010200,PERÚ,AMAZONAS,BAGUA,TODOS
PROGRESANDO PERU ,1439.0,4.97,3.72,010200,PERÚ,AMAZONAS,BAGUA,TODOS
PARTIDO POLITICO ORDEN ,29.0,0.1,0.07,010200,PERÚ,AMAZONAS,BAGUA,TODOS
PERUANOS POR EL KAMBIO ,2826.0,9.77,7.31,010200,PERÚ,AMAZONAS,BAGUA,TODOS
FRENTE ESPERANZA ,17.0,0.43,0.3,010202,PERÚ,AMAZONAS,BAGUA,ARAMANGO
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP *,0.0,0.0,0.0,010202,PERÚ,AMAZONAS,BAGUA,ARAMANGO
FUERZA POPULAR ,2063.0,52.63,36.13,010202,PERÚ,AMAZONAS,BAGUA,ARAMANGO
ALIANZA POPULAR ,107.0,2.73,1.87,010202,PERÚ,AMAZONAS,BAGUA,ARAMANGO
PERU LIBERTARIO *,0.0,0.0,0.0,010202,PERÚ,AMAZONAS,BAGUA,ARAMANGO
"EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD ",752.0,19.18,13.17,010202,PERÚ,AMAZONAS,BAGUA,ARAMANGO
ACCION POPULAR ,179.0,4.57,3.13,010202,PERÚ,AMAZONAS,BAGUA,ARAMANGO
DEMOCRACIA DIRECTA ,311.0,7.93,5.45,010202,PERÚ,AMAZONAS,BAGUA,ARAMANGO
PERU POSIBLE ,64.0,1.63,1.12,010202,PERÚ,AMAZONAS,BAGUA,ARAMANGO
PERU NACION *,0.0,0.0,0.0,010202,PERÚ,AMAZONAS,BAGUA,ARAMANGO
PARTIDO HUMANISTA PERUANO *,0.0,0.0,0.0,010202,PERÚ,AMAZONAS,BAGUA,ARAMANGO
PROGRESANDO PERU ,45.0,1.15,0.79,010202,PERÚ,AMAZONAS,BAGUA,ARAMANGO
PARTIDO POLITICO ORDEN ,2.0,0.05,0.04,010202,PERÚ,AMAZONAS,BAGUA,ARAMANGO
PERUANOS POR EL KAMBIO ,380.0,9.69,6.65,010202,PERÚ,AMAZONAS,BAGUA,ARAMANGO
FRENTE ESPERANZA ,93.0,0.89,0.73,010205,PERÚ,AMAZONAS,BAGUA,BAGUA
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP *,0.0,0.0,0.0,010205,PERÚ,AMAZONAS,BAGUA,BAGUA
FUERZA POPULAR ,4925.0,47.12,38.86,010205,PERÚ,AMAZONAS,BAGUA,BAGUA
ALIANZA POPULAR ,481.0,4.6,3.79,010205,PERÚ,AMAZONAS,BAGUA,BAGUA
PERU LIBERTARIO *,0.0,0.0,0.0,010205,PERÚ,AMAZONAS,BAGUA,BAGUA
"EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD ",1947.0,18.63,15.36,010205,PERÚ,AMAZONAS,BAGUA,BAGUA
ACCION POPULAR ,647.0,6.19,5.1,010205,PERÚ,AMAZONAS,BAGUA,BAGUA
DEMOCRACIA DIRECTA ,711.0,6.8,5.61,010205,PERÚ,AMAZONAS,BAGUA,BAGUA
PERU POSIBLE ,182.0,1.74,1.44,010205,PERÚ,AMAZONAS,BAGUA,BAGUA
PERU NACION *,0.0,0.0,0.0,010205,PERÚ,AMAZONAS,BAGUA,BAGUA
PARTIDO HUMANISTA PERUANO *,0.0,0.0,0.0,010205,PERÚ,AMAZONAS,BAGUA,BAGUA
PROGRESANDO PERU ,18.0,0.17,0.14,010205,PERÚ,AMAZONAS,BAGUA,BAGUA
PARTIDO POLITICO ORDEN ,14.0,0.13,0.11,010205,PERÚ,AMAZONAS,BAGUA,BAGUA
PERUANOS POR EL KAMBIO ,1434.0,13.72,11.31,010205,PERÚ,AMAZONAS,BAGUA,BAGUA
FRENTE ESPERANZA ,13.0,0.54,0.42,010203,PERÚ,AMAZONAS,BAGUA,COPALLIN
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP *,0.0,0.0,0.0,010203,PERÚ,AMAZONAS,BAGUA,COPALLIN
FUERZA POPULAR ,992.0,41.2,31.81,010203,PERÚ,AMAZONAS,BAGUA,COPALLIN
ALIANZA POPULAR ,115.0,4.78,3.69,010203,PERÚ,AMAZONAS,BAGUA,COPALLIN
PERU LIBERTARIO *,0.0,0.0,0.0,010203,PERÚ,AMAZONAS,BAGUA,COPALLIN
"EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD ",649.0,26.95,20.81,010203,PERÚ,AMAZONAS,BAGUA,COPALLIN
ACCION POPULAR ,158.0,6.56,5.07,010203,PERÚ,AMAZONAS,BAGUA,COPALLIN
DEMOCRACIA DIRECTA ,164.0,6.81,5.26,010203,PERÚ,AMAZONAS,BAGUA,COPALLIN
PERU POSIBLE ,14.0,0.58,0.45,010203,PERÚ,AMAZONAS,BAGUA,COPALLIN
PERU NACION *,0.0,0.0,0.0,010203,PERÚ,AMAZONAS,BAGUA,COPALLIN
PARTIDO HUMANISTA PERUANO *,0.0,0.0,0.0,010203,PERÚ,AMAZONAS,BAGUA,COPALLIN
PROGRESANDO PERU ,6.0,0.25,0.19,010203,PERÚ,AMAZONAS,BAGUA,COPALLIN
PARTIDO POLITICO ORDEN ,2.0,0.08,0.06,010203,PERÚ,AMAZONAS,BAGUA,COPALLIN
PERUANOS POR EL KAMBIO ,295.0,12.25,9.46,010203,PERÚ,AMAZONAS,BAGUA,COPALLIN
FRENTE ESPERANZA ,4.0,0.49,0.38,010204,PERÚ,AMAZONAS,BAGUA,EL PARCO
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP *,0.0,0.0,0.0,010204,PERÚ,AMAZONAS,BAGUA,EL PARCO
FUERZA POPULAR ,268.0,32.92,25.31,010204,PERÚ,AMAZONAS,BAGUA,EL PARCO
ALIANZA POPULAR ,44.0,5.41,4.15,010204,PERÚ,AMAZONAS,BAGUA,EL PARCO
PERU LIBERTARIO *,0.0,0.0,0.0,010204,PERÚ,AMAZONAS,BAGUA,EL PARCO
"EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD ",189.0,23.22,17.85,010204,PERÚ,AMAZONAS,BAGUA,EL PARCO
ACCION POPULAR ,100.0,12.29,9.44,010204,PERÚ,AMAZONAS,BAGUA,EL PARCO
DEMOCRACIA DIRECTA ,88.0,10.81,8.31,010204,PERÚ,AMAZONAS,BAGUA,EL PARCO
PERU POSIBLE ,11.0,1.35,1.04,010204,PERÚ,AMAZONAS,BAGUA,EL PARCO
PERU NACION *,0.0,0.0,0.0,010204,PERÚ,AMAZONAS,BAGUA,EL PARCO
PARTIDO HUMANISTA PERUANO *,0.0,0.0,0.0,010204,PERÚ,AMAZONAS,BAGUA,EL PARCO
PROGRESANDO PERU ,3.0,0.37,0.28,010204,PERÚ,AMAZONAS,BAGUA,EL PARCO
PARTIDO POLITICO ORDEN ,0.0,0.0,0.0,010204,PERÚ,AMAZONAS,BAGUA,EL PARCO
PERUANOS POR EL KAMBIO ,107.0,13.14,10.1,010204,PERÚ,AMAZONAS,BAGUA,EL PARCO
FRENTE ESPERANZA ,31.0,0.44,0.29,010206,PERÚ,AMAZONAS,BAGUA,IMAZA
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP *,0.0,0.0,0.0,010206,PERÚ,AMAZONAS,BAGUA,IMAZA
FUERZA POPULAR ,1163.0,16.68,11.03,010206,PERÚ,AMAZONAS,BAGUA,IMAZA
ALIANZA POPULAR ,95.0,1.36,0.9,010206,PERÚ,AMAZONAS,BAGUA,IMAZA
PERU LIBERTARIO *,0.0,0.0,0.0,010206,PERÚ,AMAZONAS,BAGUA,IMAZA
"EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD ",3382.0,48.49,32.09,010206,PERÚ,AMAZONAS,BAGUA,IMAZA
ACCION POPULAR ,126.0,1.81,1.2,010206,PERÚ,AMAZONAS,BAGUA,IMAZA
DEMOCRACIA DIRECTA ,575.0,8.24,5.46,010206,PERÚ,AMAZONAS,BAGUA,IMAZA
PERU POSIBLE ,90.0,1.29,0.85,010206,PERÚ,AMAZONAS,BAGUA,IMAZA
PERU NACION *,0.0,0.0,0.0,010206,PERÚ,AMAZONAS,BAGUA,IMAZA
PARTIDO HUMANISTA PERUANO *,0.0,0.0,0.0,010206,PERÚ,AMAZONAS,BAGUA,IMAZA
PROGRESANDO PERU ,1356.0,19.44,12.87,010206,PERÚ,AMAZONAS,BAGUA,IMAZA
PARTIDO POLITICO ORDEN ,5.0,0.07,0.05,010206,PERÚ,AMAZONAS,BAGUA,IMAZA
PERUANOS POR EL KAMBIO ,151.0,2.17,1.43,010206,PERÚ,AMAZONAS,BAGUA,IMAZA
FRENTE ESPERANZA ,18.0,0.41,0.32,010201,PERÚ,AMAZONAS,BAGUA,LA PECA
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP *,0.0,0.0,0.0,010201,PERÚ,AMAZONAS,BAGUA,LA PECA
FUERZA POPULAR ,2041.0,46.7,36.58,010201,PERÚ,AMAZONAS,BAGUA,LA PECA
ALIANZA POPULAR ,194.0,4.44,3.48,010201,PERÚ,AMAZONAS,BAGUA,LA PECA
PERU LIBERTARIO *,0.0,0.0,0.0,010201,PERÚ,AMAZONAS,BAGUA,LA PECA
"EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD ",1026.0,23.48,18.39,010201,PERÚ,AMAZONAS,BAGUA,LA PECA
ACCION POPULAR ,292.0,6.68,5.23,010201,PERÚ,AMAZONAS,BAGUA,LA PECA
DEMOCRACIA DIRECTA ,284.0,6.5,5.09,010201,PERÚ,AMAZONAS,BAGUA,LA PECA
PERU POSIBLE ,39.0,0.89,0.7,010201,PERÚ,AMAZONAS,BAGUA,LA PECA
PERU NACION *,0.0,0.0,0.0,010201,PERÚ,AMAZONAS,BAGUA,LA PECA
PARTIDO HUMANISTA PERUANO *,0.0,0.0,0.0,010201,PERÚ,AMAZONAS,BAGUA,LA PECA
PROGRESANDO PERU ,11.0,0.25,0.2,010201,PERÚ,AMAZONAS,BAGUA,LA PECA
PARTIDO POLITICO ORDEN ,6.0,0.14,0.11,010201,PERÚ,AMAZONAS,BAGUA,LA PECA
PERUANOS POR EL KAMBIO ,459.0,10.5,8.23,010201,PERÚ,AMAZONAS,BAGUA,LA PECA
FRENTE ESPERANZA ,63.0,0.57,0.43,010300,PERÚ,AMAZONAS,BONGARA,TODOS
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP *,0.0,0.0,0.0,010300,PERÚ,AMAZONAS,BONGARA,TODOS
FUERZA POPULAR ,5879.0,52.91,40.43,010300,PERÚ,AMAZONAS,BONGARA,TODOS
ALIANZA POPULAR ,362.0,3.26,2.49,010300,PERÚ,AMAZONAS,BONGARA,TODOS
PERU LIBERTARIO *,0.0,0.0,0.0,010300,PERÚ,AMAZONAS,BONGARA,TODOS
"EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD ",1723.0,15.51,11.85,010300,PERÚ,AMAZONAS,BONGARA,TODOS
ACCION POPULAR ,521.0,4.69,3.58,010300,PERÚ,AMAZONAS,BONGARA,TODOS
DEMOCRACIA DIRECTA ,1367.0,12.3,9.4,010300,PERÚ,AMAZONAS,BONGARA,TODOS
PERU POSIBLE ,87.0,0.78,0.6,010300,PERÚ,AMAZONAS,BONGARA,TODOS
PERU NACION *,0.0,0.0,0.0,010300,PERÚ,AMAZONAS,BONGARA,TODOS
PARTIDO HUMANISTA PERUANO *,0.0,0.0,0.0,010300,PERÚ,AMAZONAS,BONGARA,TODOS
PROGRESANDO PERU ,25.0,0.22,0.17,010300,PERÚ,AMAZONAS,BONGARA,TODOS
PARTIDO POLITICO ORDEN ,15.0,0.13,0.1,010300,PERÚ,AMAZONAS,BONGARA,TODOS
PERUANOS POR EL KAMBIO ,1070.0,9.63,7.36,010300,PERÚ,AMAZONAS,BONGARA,TODOS
FRENTE ESPERANZA ,3.0,1.37,1.05,010304,PERÚ,AMAZONAS,BONGARA,CHISQUILLA
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP *,0.0,0.0,0.0,010304,PERÚ,AMAZONAS,BONGARA,CHISQUILLA
FUERZA POPULAR ,98.0,44.75,34.39,010304,PERÚ,AMAZONAS,BONGARA,CHISQUILLA
ALIANZA POPULAR ,21.0,9.59,7.37,010304,PERÚ,AMAZONAS,BONGARA,CHISQUILLA
PERU LIBERTARIO *,0.0,0.0,0.0,010304,PERÚ,AMAZONAS,BONGARA,CHISQUILLA
"EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD ",43.0,19.63,15.09,010304,PERÚ,AMAZONAS,BONGARA,CHISQUILLA
ACCION POPULAR ,18.0,8.22,6.32,010304,PERÚ,AMAZONAS,BONGARA,CHISQUILLA
DEMOCRACIA DIRECTA ,21.0,9.59,7.37,010304,PERÚ,AMAZONAS,BONGARA,CHISQUILLA
PERU POSIBLE ,0.0,0.0,0.0,010304,PERÚ,AMAZONAS,BONGARA,CHISQUILLA
PERU NACION *,0.0,0.0,0.0,010304,PERÚ,AMAZONAS,BONGARA,CHISQUILLA
PARTIDO HUMANISTA PERUANO *,0.0,0.0,0.0,010304,PERÚ,AMAZONAS,BONGARA,CHISQUILLA
PROGRESANDO PERU ,0.0,0.0,0.0,010304,PERÚ,AMAZONAS,BONGARA,CHISQUILLA
PARTIDO POLITICO ORDEN ,0.0,0.0,0.0,010304,PERÚ,AMAZONAS,BONGARA,CHISQUILLA
PERUANOS POR EL KAMBIO ,15.0,6.85,5.26,010304,PERÚ,AMAZONAS,BONGARA,CHISQUILLA
FRENTE ESPERANZA ,2.0,0.98,0.76,010305,PERÚ,AMAZONAS,BONGARA,CHURUJA
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP *,0.0,0.0,0.0,010305,PERÚ,AMAZONAS,BONGARA,CHURUJA
FUERZA POPULAR ,115.0,56.37,43.56,010305,PERÚ,AMAZONAS,BONGARA,CHURUJA
ALIANZA POPULAR ,4.0,1.96,1.52,010305,PERÚ,AMAZONAS,BONGARA,CHURUJA
PERU LIBERTARIO *,0.0,0.0,0.0,010305,PERÚ,AMAZONAS,BONGARA,CHURUJA
"EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD ",43.0,21.08,16.29,010305,PERÚ,AMAZONAS,BONGARA,CHURUJA
ACCION POPULAR ,10.0,4.9,3.79,010305,PERÚ,AMAZONAS,BONGARA,CHURUJA
DEMOCRACIA DIRECTA ,2.0,0.98,0.76,010305,PERÚ,AMAZONAS,BONGARA,CHURUJA
PERU POSIBLE ,6.0,2.94,2.27,010305,PERÚ,AMAZONAS,BONGARA,CHURUJA
PERU NACION *,0.0,0.0,0.0,010305,PERÚ,AMAZONAS,BONGARA,CHURUJA
PARTIDO HUMANISTA PERUANO *,0.0,0.0,0.0,010305,PERÚ,AMAZONAS,BONGARA,CHURUJA
PROGRESANDO PERU ,0.0,0.0,0.0,010305,PERÚ,AMAZONAS,BONGARA,CHURUJA
PARTIDO POLITICO ORDEN ,0.0,0.0,0.0,010305,PERÚ,AMAZONAS,BONGARA,CHURUJA
PERUANOS POR EL KAMBIO ,22.0,10.78,8.33,010305,PERÚ,AMAZONAS,BONGARA,CHURUJA
FRENTE ESPERANZA ,5.0,1.29,1.03,010302,PERÚ,AMAZONAS,BONGARA,COROSHA
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP *,0.0,0.0,0.0,010302,PERÚ,AMAZONAS,BONGARA,COROSHA
FUERZA POPULAR ,141.0,36.43,28.95,010302,PERÚ,AMAZONAS,BONGARA,COROSHA
ALIANZA POPULAR ,11.0,2.84,2.26,010302,PERÚ,AMAZONAS,BONGARA,COROSHA
PERU LIBERTARIO *,0.0,0.0,0.0,010302,PERÚ,AMAZONAS,BONGARA,COROSHA
"EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD ",48.0,12.4,9.86,010302,PERÚ,AMAZONAS,BONGARA,COROSHA
ACCION POPULAR ,14.0,3.62,2.87,010302,PERÚ,AMAZONAS,BONGARA,COROSHA
DEMOCRACIA DIRECTA ,140.0,36.18,28.75,010302,PERÚ,AMAZONAS,BONGARA,COROSHA
PERU POSIBLE ,1.0,0.26,0.21,010302,PERÚ,AMAZONAS,BONGARA,COROSHA
PERU NACION *,0.0,0.0,0.0,010302,PERÚ,AMAZONAS,BONGARA,COROSHA
PARTIDO HUMANISTA PERUANO *,0.0,0.0,0.0,010302,PERÚ,AMAZONAS,BONGARA,COROSHA
PROGRESANDO PERU ,1.0,0.26,0.21,010302,PERÚ,AMAZONAS,BONGARA,COROSHA
PARTIDO POLITICO ORDEN ,0.0,0.0,0.0,010302,PERÚ,AMAZONAS,BONGARA,COROSHA
PERUANOS POR EL KAMBIO ,26.0,6.72,5.34,010302,PERÚ,AMAZONAS,BONGARA,COROSHA
FRENTE ESPERANZA ,2.0,0.57,0.41,010303,PERÚ,AMAZONAS,BONGARA,CUISPES
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP *,0.0,0.0,0.0,010303,PERÚ,AMAZONAS,BONGARA,CUISPES
FUERZA POPULAR ,105.0,30.17,21.52,010303,PERÚ,AMAZONAS,BONGARA,CUISPES
ALIANZA POPULAR ,16.0,4.6,3.28,010303,PERÚ,AMAZONAS,BONGARA,CUISPES
PERU LIBERTARIO *,0.0,0.0,0.0,010303,PERÚ,AMAZONAS,BONGARA,CUISPES
"EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD ",100.0,28.74,20.49,010303,PERÚ,AMAZONAS,BONGARA,CUISPES
ACCION POPULAR ,21.0,6.03,4.3,010303,PERÚ,AMAZONAS,BONGARA,CUISPES
DEMOCRACIA DIRECTA ,43.0,12.36,8.81,010303,PERÚ,AMAZONAS,BONGARA,CUISPES
PERU POSIBLE ,9.0,2.59,1.84,010303,PERÚ,AMAZONAS,BONGARA,CUISPES
PERU NACION *,0.0,0.0,0.0,010303,PERÚ,AMAZONAS,BONGARA,CUISPES
PARTIDO HUMANISTA PERUANO *,0.0,0.0,0.0,010303,PERÚ,AMAZONAS,BONGARA,CUISPES
PROGRESANDO PERU ,0.0,0.0,0.0,010303,PERÚ,AMAZONAS,BONGARA,CUISPES
PARTIDO POLITICO ORDEN ,0.0,0.0,0.0,010303,PERÚ,AMAZONAS,BONGARA,CUISPES
PERUANOS POR EL KAMBIO ,52.0,14.94,10.66,010303,PERÚ,AMAZONAS,BONGARA,CUISPES
FRENTE ESPERANZA ,8.0,0.33,0.26,010306,PERÚ,AMAZONAS,BONGARA,FLORIDA
ALIANZA ELECTORAL SOLIDARIDAD NACIONAL - UPP *,0.0,0.0,0.0,010306,PERÚ,AMAZONAS,BONGARA,FLORIDA
FUERZA POPULAR ,1354.0,56.09,43.29,010306,PERÚ,AMAZONAS,BONGARA,FLORIDA
ALIANZA POPULAR ,47.0,1.95,1.5,010306,PERÚ,AMAZONAS,BONGARA,FLORIDA
